Case,File,Altitude_km,Original_Steps,Selected_Steps,Valid_Intervals,Invalid_Intervals,Min_Selected_deg,Max_Selected_deg,Slew_Events,Desat_Events,X_Desats,Y_Desats,Z_Desats,Peak_X_Nms,Peak_Y_Nms,Peak_Z_Nms,Hyd_X_kg,Hyd_Y_kg,Hyd_Z_kg,Hyd_Total_kg
Psyche A,Psyche_A_Rsc_theta.mat,300,146865,1019,1019,0,4.52861900340925,65.0925480536575,1019,345,244,77,24,70.3851678215061,53.6606648901245,65.8741112035369,5.72282114810705,1.67185892565984,0.540016428749928,7.93469650251682
Psyche B,Psyche_B_Rsc_theta.mat,175,143987,1019,1019,0,7.19224230308254,89.6041441234089,1019,217,100,24,93,70.170403059682,53.5959816388893,74.8875711598354,2.441992280447,0.518433560096147,2.34835328359027,5.30877912413343
Psyche C,Psyche_C_Rsc_theta.mat,75,187193,1019,1019,0,40.9877634010022,89.9917379086224,1019,265,201,11,53,78.5456330509024,53.4040994835553,72.3820024731113,5.17329858544369,0.240113298011333,1.28163538351284,6.69504726696786
Themis A,Themis_A_Rsc_theta.mat,170,129583,1019,1019,0,2.35550899279508,83.9430658531522,687,317,274,41,2,72.397648345494,53.0377672419953,74.9939108748186,7.03986519116309,0.883277305764143,0.0558729518247307,7.97901544875197
Themis B,Themis_B_Rsc_theta.mat,75,148318,1019,1019,0,16.649418691608,89.0389007404068,1019,301,197,50,54,73.3277392701531,54.265745482208,70.2038399807292,4.83480584445634,1.0817001315113,1.27106954862228,7.18757552458993
Themis C,Themis_C_Rsc_theta.mat,25,201595,1019,1019,0,18.1940848042463,89.9771041748186,1019,327,212,9,106,76.6194328848826,53.3559651570439,75.5531602760368,5.30989318092885,0.194046423206033,2.58936023901111,8.09329984314599
